"MLM_count","TOKEN_count","NSP_bool","Loss"
19,128,1,10.249883651733398
19,128,1,3.514228582382202
19,128,0,1.9020401239395142
19,128,1,6.985265731811523
19,128,1,3.642453908920288
19,128,0,1.788769245147705
19,128,1,4.0583815574646
19,128,1,11.037769317626953
15,98,1,5.17365026473999
19,128,0,1.8209425210952759
19,128,1,3.3684072494506836
19,128,0,3.7892465591430664
19,128,1,6.142119407653809
19,128,1,10.904199600219727
7,49,1,8.188676834106445
16,107,0,2.9196112155914307
19,128,1,7.278703689575195
9,61,0,3.3040764331817627
19,128,0,3.7414371967315674
19,128,0,1.7071624994277954
14,94,0,2.077688455581665
10,68,0,1.3421382904052734
19,128,0,3.9552013874053955
19,128,0,3.6296579837799072
19,128,1,5.119973182678223
19,128,1,5.466268539428711
19,128,1,8.310669898986816
18,128,0,2.8215811252593994
19,128,1,2.8203511238098145
19,128,0,4.003404140472412
19,128,0,1.6465482711791992
8,51,0,3.071040630340576
19,128,0,2.91792631149292
19,128,0,2.7968032360076904
17,114,0,1.213332176208496
19,128,1,10.292821884155273
19,128,1,5.578765392303467
8,53,1,4.002107620239258
19,128,1,6.283506393432617
7,48,1,10.628332138061523
18,128,1,5.387820243835449
19,128,1,6.224484443664551
19,128,1,9.693388938903809
9,57,1,5.388741493225098
19,128,0,3.0414421558380127
19,128,0,3.3361809253692627
19,128,0,2.3448774814605713
19,128,1,7.236455917358398
19,128,1,6.332731246948242
19,128,0,5.091860294342041
19,128,1,2.889039993286133
19,128,1,4.163135051727295
19,128,1,6.675624847412109
19,128,0,3.198420286178589
19,128,0,3.321540594100952
19,128,1,8.070575714111328
7,49,1,4.020078182220459
5,32,1,2.9101758003234863
13,84,1,4.195729732513428
19,128,0,1.2979238033294678
19,128,0,2.9726240634918213
19,128,1,3.8537778854370117
19,128,0,2.4371607303619385
19,128,1,3.986952304840088
19,128,1,6.041068077087402
19,128,1,9.25653076171875
19,128,1,5.302084445953369
19,128,1,2.262449026107788
7,48,1,5.419041156768799
19,128,1,5.8499956130981445
19,128,1,4.833070755004883
5,34,1,5.406229496002197
19,128,1,5.646783351898193
19,128,0,1.082405924797058
19,128,0,5.017266273498535
19,128,1,7.673854827880859
8,55,1,2.759990692138672
7,46,1,10.639533996582031
19,128,1,7.592606544494629
14,93,1,3.495328664779663
19,128,0,4.164706230163574
19,128,1,6.811149597167969
19,128,0,3.4930419921875
19,128,0,1.362776756286621
19,128,0,3.4134206771850586
19,128,1,9.073719024658203
19,128,1,1.5146783590316772
19,127,1,4.539082050323486
7,46,0,4.075240135192871
19,128,0,3.9937641620635986
19,128,1,11.306407928466797
19,128,0,3.5675783157348633
19,128,1,7.9895782470703125
19,128,0,3.314619541168213
19,128,0,3.233664035797119
19,128,1,7.634130477905273
19,128,1,6.473282814025879
19,128,0,2.6100285053253174
19,128,0,2.6560726165771484
6,42,1,6.823209762573242
9,57,0,4.092669486999512
19,128,0,1.9160102605819702
19,128,1,8.720977783203125
19,128,0,3.0801026821136475
14,92,1,4.72498893737793
19,128,1,2.8775362968444824
19,128,1,7.8394670486450195
19,128,1,3.2420132160186768
19,128,1,2.9448604583740234
19,128,0,2.5565876960754395
19,128,0,2.9129178524017334
12,83,0,3.783205509185791
19,128,1,8.490909576416016
19,128,1,8.239542961120605
19,128,1,6.655592918395996
19,128,0,1.7122752666473389
19,128,0,3.62911319732666
19,128,0,3.2278592586517334
19,128,1,2.5003814697265625
19,128,0,1.22720468044281
5,35,1,6.349814414978027
19,128,1,7.25809383392334
14,93,1,3.2017135620117188
19,128,0,3.6926677227020264
19,128,1,4.559684753417969
19,128,1,2.9367270469665527
19,128,0,2.643230676651001
19,128,1,2.6240954399108887
10,70,0,5.818615913391113
19,128,0,4.753620147705078
19,128,0,2.069810628890991
10,73,0,3.2985494136810303
9,60,1,4.505533695220947
2,12,1,4.885802268981934
9,60,1,3.2815492153167725
19,128,0,2.195566177368164
19,128,1,2.9473977088928223
19,128,1,3.567174196243286
19,128,0,2.8598546981811523
3,23,1,0.9292511940002441
19,128,0,2.7599055767059326
14,93,1,2.8878743648529053
19,128,1,1.7845470905303955
19,128,1,2.335606336593628
19,128,1,12.036067962646484
19,128,1,8.753801345825195
19,128,1,8.014120101928711
19,128,1,7.1528472900390625
19,128,1,2.8487086296081543
19,128,0,2.7017922401428223
6,40,1,4.37714958190918
19,127,1,10.339433670043945
19,128,1,7.915157794952393
19,128,0,1.739061713218689
9,65,1,3.4829297065734863
19,128,0,3.7879252433776855
19,128,0,2.057927370071411
19,128,1,7.480565071105957
19,128,0,3.275888204574585
19,128,0,3.0125396251678467
19,128,0,2.8667163848876953
19,128,0,3.21946120262146
19,128,0,2.5980091094970703
7,47,1,2.5839085578918457
12,80,0,3.359954595565796
19,128,1,9.14334774017334
19,128,1,7.1458587646484375
19,128,0,1.9290542602539062
11,74,1,4.042827606201172
19,128,1,4.755970001220703
14,94,0,2.6153974533081055
19,128,1,2.8563122749328613
19,128,0,2.189844846725464
19,128,1,6.049806594848633
7,46,1,9.981300354003906
14,92,0,1.2172622680664062
5,35,0,1.4235730171203613
19,128,1,4.230186462402344
19,128,1,4.7688751220703125
19,128,1,4.231318473815918
19,128,1,3.3546578884124756
19,128,1,3.4077067375183105
19,128,1,5.342392921447754
19,128,0,3.4403624534606934
19,128,1,4.407264232635498
18,128,1,3.106053352355957
19,128,0,3.2431752681732178
19,128,1,7.392430305480957
19,128,1,3.727895736694336
19,128,1,7.385045051574707
19,128,0,5.1698222160339355
19,128,0,3.7705745697021484
12,83,1,3.917181968688965
19,128,1,7.01448917388916
19,128,1,7.02005672454834
19,128,0,5.088265419006348
19,128,1,8.789320945739746
19,128,0,2.3114893436431885
19,128,1,8.933087348937988
19,128,1,4.783890247344971
11,73,0,4.193970203399658
19,128,1,5.135987281799316
19,128,0,4.370955944061279
19,128,0,3.2781810760498047
19,128,1,5.046075820922852
19,128,0,2.855465888977051
19,128,0,2.5017292499542236
14,96,0,1.3588778972625732
19,128,0,2.205230474472046
19,128,1,4.272341728210449
19,128,0,2.226534366607666
19,128,1,6.5546441078186035
19,128,1,11.48251724243164
4,29,1,10.74915599822998
19,128,1,10.506439208984375
5,35,0,1.0987327098846436
19,128,0,3.1428754329681396
4,29,1,10.282007217407227
19,128,1,6.416217803955078
19,128,0,3.0385429859161377
19,128,0,1.6790101528167725
19,128,1,2.9010541439056396
19,128,1,5.678305625915527
19,128,1,4.678239345550537
19,128,1,3.4569904804229736
19,128,1,5.446296691894531
19,128,1,4.997257232666016
19,128,0,3.26529598236084
9,57,1,4.324380874633789
19,128,1,6.4461140632629395
19,128,1,10.068344116210938
19,128,0,2.499574899673462
19,128,0,2.657034158706665
11,73,1,5.979245185852051
19,128,1,7.67530632019043
19,128,1,5.771324157714844
19,128,1,11.198196411132812
19,128,1,4.2152628898620605
