"MLM_count","TOKEN_count","NSP_bool","Loss"
9,57,1,1.7207480669021606
4,26,1,2.764899492263794
19,128,0,3.600955009460449
19,127,0,1.9869165420532227
9,60,0,1.2562673091888428
19,129,1,2.2505533695220947
19,133,1,3.40027117729187
19,131,0,1.024412989616394
19,129,0,2.090813398361206
19,130,1,2.194680690765381
16,123,1,3.8036208152770996
8,50,1,1.070086121559143
19,130,0,1.5392355918884277
19,128,0,0.8928309082984924
15,103,1,2.2316172122955322
16,112,0,0.5956195592880249
16,107,1,3.486780881881714
14,100,1,4.016251564025879
10,69,0,1.6184589862823486
12,86,1,1.8836692571640015
5,32,1,2.2022178173065186
14,92,1,2.6851136684417725
5,33,1,0.2331017553806305
19,131,0,2.3334550857543945
19,132,0,2.942345142364502
6,41,1,1.057221531867981
19,134,1,1.1291147470474243
4,30,1,0.34903597831726074
19,129,0,0.8051192164421082
23,135,0,1.8343313932418823
19,136,1,2.8193984031677246
19,129,0,1.1376330852508545
4,30,1,4.085752964019775
8,55,1,2.4606645107269287
15,102,1,2.823741912841797
19,130,1,2.4647011756896973
19,129,1,2.7588839530944824
12,85,1,2.9135193824768066
20,132,1,2.9366655349731445
14,94,0,1.4459993839263916
13,80,1,4.010655403137207
9,63,1,0.3999677896499634
19,128,1,2.059216022491455
17,116,1,2.1373040676116943
19,128,0,1.0636024475097656
19,124,0,1.813017725944519
10,67,1,2.387364387512207
19,128,0,1.936597228050232
19,126,0,4.754413604736328
13,89,1,0.7179988622665405
15,97,0,1.1878646612167358
19,129,1,4.528265476226807
8,55,1,1.1421910524368286
19,128,1,3.068723440170288
19,126,0,3.264704942703247
19,129,0,2.0737929344177246
9,62,1,0.6423799991607666
19,129,1,1.0135154724121094
18,130,0,1.944304347038269
11,79,1,2.0153818130493164
13,84,0,1.6958692073822021
20,131,1,1.6463323831558228
20,131,0,2.347569465637207
20,120,1,3.901005268096924
19,122,1,2.962261438369751
19,122,0,1.9952819347381592
19,128,1,2.2075445652008057
19,129,1,0.37557634711265564
19,128,0,0.9894145727157593
19,129,1,2.9155118465423584
11,77,0,0.05248541757464409
19,129,1,1.0529463291168213
19,131,0,1.5374115705490112
19,128,1,2.127044916152954
7,44,1,2.0117714405059814
19,129,1,0.6165921092033386
19,127,0,2.4962573051452637
18,119,0,2.3603172302246094
13,89,1,2.907621145248413
8,55,1,3.593965768814087
21,125,1,2.8235719203948975
19,130,1,3.3005576133728027
12,83,0,1.9079241752624512
16,104,0,1.3277313709259033
6,38,1,0.27741196751594543
6,38,1,0.1535855531692505
19,126,0,2.107691526412964
19,127,0,2.3420052528381348
19,127,1,3.4837193489074707
17,125,0,3.4456944465637207
5,35,1,5.9373579025268555
19,129,1,3.3132688999176025
19,128,0,3.398730516433716
23,132,0,2.859649658203125
17,107,1,1.7089394330978394
5,31,1,1.422911524772644
4,33,1,0.06068240851163864
11,76,1,2.765042781829834
20,126,1,1.2723376750946045
7,45,1,2.4063496589660645
18,123,1,1.740235686302185
10,69,1,1.5478730201721191
11,75,1,1.5553261041641235
17,126,0,2.3286702632904053
10,65,1,4.082534313201904
21,132,1,1.1265712976455688
19,126,1,2.265705108642578
