"MLM_count","TOKEN_count","NSP_bool","Loss"
19,127,1,3.5239551067352295
19,118,1,2.0894057750701904
19,124,0,1.1318846940994263
17,123,1,1.5767791271209717
17,112,1,2.330448627471924
18,117,0,1.7437864542007446
17,122,1,2.667407512664795
18,122,1,2.8529505729675293
14,97,1,3.1421992778778076
19,125,0,0.6309396028518677
19,127,1,2.1965250968933105
19,128,0,3.0228381156921387
19,125,1,2.4985873699188232
17,123,1,2.9638211727142334
7,48,1,3.203028678894043
15,106,0,1.6191012859344482
19,122,1,2.3483924865722656
9,59,0,3.5192580223083496
19,121,0,3.4997074604034424
18,121,0,1.399351954460144
14,91,0,3.1179583072662354
9,62,0,1.517160177230835
18,123,0,2.757317066192627
19,125,0,2.4465956687927246
14,116,1,3.589298725128174
17,113,1,1.4974766969680786
19,125,1,1.9293105602264404
18,124,0,1.3217065334320068
19,122,1,0.7960315942764282
18,121,0,2.5155584812164307
19,123,0,0.5569539070129395
6,49,0,2.5818135738372803
19,125,0,2.5803723335266113
19,125,0,2.325465679168701
17,107,0,0.5073227286338806
18,123,1,4.633096218109131
19,128,1,2.2358248233795166
8,53,1,1.4158223867416382
18,126,1,2.062357187271118
7,48,1,2.9294075965881348
17,125,1,1.866486668586731
18,122,1,1.020003080368042
19,125,1,2.1153528690338135
6,52,1,2.684541940689087
18,123,0,1.5844138860702515
18,122,0,2.2354509830474854
17,125,0,1.0970512628555298
16,124,1,2.5942089557647705
18,121,1,1.9514645338058472
19,124,0,13.925537109375
19,125,1,2.682377338409424
17,126,1,2.644925117492676
19,126,1,0.6810652613639832
19,124,0,2.7806646823883057
19,121,0,6.463459014892578
19,128,1,4.671399116516113
7,45,1,2.2612740993499756
5,25,1,0.849867582321167
12,74,1,1.9622777700424194
19,124,0,1.1141985654830933
16,121,0,2.3434224128723145
18,126,1,1.2043588161468506
19,124,0,2.6743252277374268
18,123,1,3.4262046813964844
19,121,1,0.4935053288936615
19,126,1,2.173389434814453
18,123,1,3.113621473312378
19,118,1,1.2540392875671387
7,48,1,2.7334582805633545
17,123,1,2.492166519165039
19,122,1,4.006831645965576
5,32,1,3.993670701980591
15,124,1,4.870200157165527
19,125,0,1.0209479331970215
19,125,0,3.8574256896972656
17,120,1,1.9697402715682983
8,54,1,0.7169531583786011
6,43,1,5.587983131408691
19,125,1,2.8891348838806152
12,88,1,3.964238166809082
19,122,0,1.2962743043899536
15,121,1,3.76472806930542
19,126,0,2.9768664836883545
19,125,0,1.2958852052688599
16,119,0,1.9199204444885254
19,122,1,2.120462656021118
19,122,1,0.39307305216789246
19,123,1,4.017428398132324
7,44,0,3.802946090698242
19,124,0,2.4952564239501953
17,119,1,2.6239049434661865
16,117,0,5.065185070037842
17,126,1,1.8537153005599976
19,129,0,2.6627509593963623
15,118,0,1.0281785726547241
18,123,1,3.154874801635742
17,122,1,1.3997108936309814
19,125,0,2.6688613891601562
17,124,0,0.5274131894111633
6,42,1,6.881561279296875
7,55,0,3.7563974857330322
19,123,0,1.3654378652572632
19,123,1,2.8186607360839844
18,123,0,3.6593778133392334
13,86,1,1.430633783340454
19,126,1,2.3397743701934814
18,127,1,3.4487438201904297
19,122,1,2.326364040374756
19,129,1,2.4339303970336914
19,125,0,2.500662326812744
18,127,0,2.6951794624328613
11,82,0,5.035916805267334
17,120,1,1.33486807346344
19,128,1,1.614422082901001
19,123,1,1.92775559425354
19,121,0,1.1179548501968384
16,120,0,2.8669536113739014
17,113,0,2.068182945251465
19,127,1,0.2965627908706665
19,127,0,0.6182907819747925
5,34,1,2.5977296829223633
19,125,1,2.886004686355591
14,92,1,0.7506677508354187
18,126,0,3.7642335891723633
19,125,1,0.5099024176597595
18,126,1,1.7087243795394897
17,122,0,2.1996045112609863
19,125,1,1.062416911125183
8,67,0,2.5370290279388428
19,126,0,2.8648555278778076
18,119,0,1.2554998397827148
9,67,0,1.9124116897583008
9,60,1,0.9775728583335876
2,12,1,0.4931181073188782
9,57,1,2.5478105545043945
19,127,0,1.6184805631637573
18,121,1,1.8302841186523438
19,127,1,2.240262508392334
18,127,0,2.126591205596924
3,23,1,0.34971189498901367
19,127,0,1.6483975648880005
14,93,1,2.2435882091522217
19,121,1,0.8104184865951538
19,126,1,1.1921634674072266
19,122,1,2.740532159805298
17,120,1,3.3723883628845215
19,120,1,1.3443351984024048
17,119,1,2.1390063762664795
19,126,1,1.8062446117401123
19,128,0,6.440742492675781
6,39,1,4.193922996520996
18,116,1,4.419826984405518
19,122,1,2.1869120597839355
18,122,0,1.0305098295211792
9,62,1,2.1316380500793457
18,119,0,3.0111401081085205
19,126,0,1.26221764087677
19,122,1,2.0521719455718994
19,126,0,2.865873336791992
18,123,0,2.2297327518463135
19,129,0,3.2624919414520264
19,124,0,2.771754503250122
19,123,0,4.075339317321777
7,45,1,1.7624659538269043
10,78,0,3.0294883251190186
19,123,1,2.078247547149658
18,126,1,3.1776790618896484
19,119,0,1.859358787536621
11,71,1,1.1491284370422363
19,127,1,1.9121125936508179
13,91,0,1.2542650699615479
18,124,1,2.5836009979248047
18,118,0,3.321348190307617
19,127,1,3.0438458919525146
7,46,1,2.1292619705200195
14,91,0,0.833230197429657
5,33,0,1.2302225828170776
19,125,1,1.1795735359191895
18,116,1,4.273234844207764
19,125,1,2.6767866611480713
19,124,1,1.782134771347046
18,122,1,2.8215441703796387
16,125,1,0.9479601979255676
18,117,0,4.112945079803467
18,124,1,2.6819233894348145
18,126,1,2.702482223510742
16,122,0,2.1737287044525146
18,124,1,1.3453031778335571
19,120,1,0.9087678790092468
18,124,1,1.5027978420257568
18,125,0,2.631439208984375
16,114,0,3.4961113929748535
12,81,1,1.1501024961471558
18,126,1,2.6237218379974365
18,124,1,1.619675874710083
17,121,0,4.5827317237854
17,124,1,2.8212456703186035
19,122,0,1.388664960861206
16,122,1,3.017899751663208
19,122,1,1.8322722911834717
6,66,0,2.3758106231689453
18,123,1,1.949866771697998
16,124,0,2.7743053436279297
18,126,0,1.502986192703247
19,124,1,1.0291540622711182
19,125,0,3.280137777328491
19,124,0,2.0052435398101807
13,94,0,1.1987099647521973
18,119,0,1.9048774242401123
19,126,1,2.2884724140167236
19,127,0,1.6971081495285034
19,126,1,1.9497236013412476
19,122,1,1.4469934701919556
4,29,1,4.139582633972168
19,120,1,2.30501389503479
5,33,0,0.9854462146759033
17,126,0,2.3980214595794678
3,26,1,0.8556460738182068
18,127,1,3.750506639480591
17,124,0,1.972360610961914
17,122,0,1.2555592060089111
19,124,1,2.569939374923706
19,127,1,4.159158706665039
20,124,1,2.346529722213745
17,113,1,1.5998107194900513
19,125,1,1.3719139099121094
19,124,1,2.10915207862854
19,127,0,2.6155734062194824
9,57,1,1.6093449592590332
19,126,1,2.367033004760742
19,128,1,2.1827499866485596
19,125,0,7.603932857513428
16,123,0,1.7121086120605469
10,71,1,2.405040979385376
19,122,1,1.3238705396652222
19,123,1,3.3957245349884033
19,120,1,2.3618829250335693
17,120,1,2.769170045852661
18,124,1,3.4423160552978516
19,121,0,1.9190038442611694
19,126,0,1.5935819149017334
10,67,1,0.9239587783813477
17,121,1,1.932676076889038
6,44,0,7.793636322021484
11,74,1,0.7063407301902771
19,128,1,0.8386660218238831
19,118,1,2.875018835067749
12,80,0,1.063879132270813
7,48,1,0.5312491059303284
19,127,1,2.0513689517974854
11,70,0,1.064841866493225
16,121,1,2.111476421356201
19,126,1,3.1683642864227295
19,122,1,2.2962770462036133
19,125,1,1.9844058752059937
19,116,1,1.8262574672698975
19,127,0,2.0327916145324707
17,125,0,7.943831920623779
19,126,0,1.6488802433013916
19,128,1,1.038788080215454
19,122,0,1.1469366550445557
18,120,1,1.510573148727417
19,125,0,1.427880048751831
7,46,0,2.9830574989318848
18,123,1,0.713613748550415
19,126,1,2.63330078125
19,125,0,1.4555832147598267
17,118,1,1.495341420173645
9,58,1,1.0165785551071167
19,118,0,7.7150139808654785
19,127,0,2.5398764610290527
18,123,1,2.064410924911499
18,126,1,3.2065184116363525
19,122,0,0.8732348084449768
6,45,0,2.4179279804229736
10,66,1,1.9837596416473389
4,28,0,5.261816501617432
12,81,0,1.4008344411849976
19,128,1,1.6448240280151367
19,124,1,1.9320487976074219
17,121,1,1.1416258811950684
19,126,1,1.1316590309143066
18,123,1,1.9352442026138306
19,126,1,2.6824655532836914
11,73,1,1.3943166732788086
19,122,1,1.9544230699539185
19,127,1,1.4720836877822876
19,121,0,1.090936541557312
10,78,1,2.778068780899048
7,45,0,0.3384595513343811
19,123,0,3.3475372791290283
19,126,1,1.2799506187438965
18,125,1,3.1789050102233887
19,125,1,4.531082630157471
17,118,0,2.6968870162963867
19,128,0,3.217430353164673
19,127,1,2.2167539596557617
18,123,0,4.198785305023193
16,122,1,3.204923152923584
9,63,1,1.7175118923187256
19,119,0,1.9654016494750977
18,128,0,1.835436224937439
19,124,0,1.032900094985962
9,58,1,0.7343804836273193
19,127,0,10.463629722595215
18,123,0,2.6447105407714844
16,116,0,2.2371420860290527
16,107,0,1.3699694871902466
5,34,0,4.333834648132324
17,118,1,2.127730369567871
18,127,0,2.877807140350342
18,126,0,10.73861026763916
19,126,1,1.4162371158599854
19,127,0,2.8462164402008057
3,20,0,0.3075815439224243
19,122,0,0.9636300802230835
4,40,1,3.60579514503479
18,119,0,3.6082353591918945
17,122,0,5.070513725280762
19,127,0,1.6338087320327759
17,124,0,2.801201820373535
19,126,0,2.493856430053711
18,120,1,4.666653633117676
19,122,0,1.6248351335525513
16,113,0,2.283541202545166
19,123,0,3.163252592086792
20,128,1,4.283755779266357
19,125,0,3.2720530033111572
19,116,1,2.6892318725585938
19,123,0,2.379931688308716
19,122,1,2.3362722396850586
13,82,1,1.4854798316955566
19,121,1,2.0722084045410156
16,104,1,1.6823614835739136
18,125,1,2.1237456798553467
17,116,1,4.146852016448975
16,120,0,1.4487756490707397
17,119,1,2.204983949661255
18,128,0,4.57684850692749
19,125,1,0.7143092155456543
19,127,1,2.5747358798980713
18,124,1,3.1934685707092285
19,127,0,3.0690371990203857
19,123,1,2.827200174331665
19,126,0,1.0945607423782349
16,123,0,2.57134747505188
17,118,1,3.9304897785186768
19,116,0,1.7326583862304688
19,121,1,2.6980679035186768
19,126,0,3.6375441551208496
19,126,0,2.953831434249878
19,127,1,1.4241327047348022
19,124,0,2.900482177734375
4,27,0,9.826441764831543
19,124,0,8.190924644470215
19,129,1,1.7787035703659058
18,125,1,0.6826181411743164
12,81,0,3.093844175338745
17,124,1,0.9988769292831421
19,123,1,1.4992384910583496
14,93,0,1.6068270206451416
17,123,0,2.141125202178955
5,30,0,2.5332775115966797
19,121,0,2.9149961471557617
18,124,0,1.7851051092147827
19,131,1,5.663861274719238
19,129,1,1.2376147508621216
17,119,0,4.629833221435547
7,44,0,1.4381240606307983
19,127,1,3.258803367614746
17,118,0,3.203032970428467
19,126,0,2.1330509185791016
18,120,1,2.1286392211914062
17,119,1,0.6558203101158142
18,124,0,4.551068305969238
13,91,1,1.7739949226379395
18,117,1,1.663657307624817
19,123,0,1.797876238822937
17,123,1,1.1687594652175903
18,123,0,1.3108257055282593
19,126,0,1.747678279876709
3,22,1,1.8585867881774902
6,43,0,5.111560821533203
16,103,1,3.7598390579223633
19,121,0,6.571756362915039
19,126,1,2.7862842082977295
18,124,1,1.919095516204834
5,32,0,0.3426744341850281
16,108,0,2.1704142093658447
6,39,1,4.073258876800537
18,121,1,2.3677010536193848
18,127,0,2.873476982116699
19,125,0,3.5749754905700684
19,123,0,1.7450021505355835
19,125,0,5.005329132080078
19,125,1,1.422979712486267
19,128,1,1.9332103729248047
19,128,1,3.1005237102508545
19,117,0,2.7026915550231934
19,130,1,3.563457727432251
5,38,1,2.4901161193847656
19,130,1,2.499681234359741
17,120,1,2.719207525253296
19,123,1,1.3226561546325684
4,28,1,1.0728521347045898
12,73,0,0.7469127774238586
18,125,0,12.361228942871094
17,124,1,2.084855079650879
19,129,0,2.4936718940734863
19,125,1,1.9874218702316284
7,44,1,3.6656720638275146
13,97,1,2.608370542526245
4,27,1,4.107636451721191
16,125,0,0.8479979038238525
18,126,0,2.0557444095611572
19,127,0,2.4932591915130615
19,122,1,2.1541266441345215
18,121,0,2.5104904174804688
3,17,1,3.5634682178497314
17,118,1,2.2094056606292725
18,121,1,2.343641519546509
19,119,0,2.0977346897125244
19,120,1,2.455841541290283
19,127,1,1.4375214576721191
18,122,1,2.5044596195220947
18,118,1,2.879283905029297
18,121,0,2.0094664096832275
19,125,0,2.855700969696045
17,123,0,2.9447286128997803
12,80,1,1.483094334602356
16,119,0,3.7227015495300293
19,123,1,1.7763875722885132
8,48,1,2.0087673664093018
16,123,1,3.1584932804107666
18,117,0,2.579167366027832
13,80,0,0.9200045466423035
18,124,1,2.981627941131592
6,40,1,1.5540152788162231
19,127,1,2.0027012825012207
17,117,1,3.1142003536224365
4,30,1,0.3078062832355499
19,122,1,1.0606118440628052
20,126,0,5.09988260269165
19,121,1,3.940871000289917
14,113,0,3.055506706237793
19,125,0,3.7295377254486084
12,81,1,3.021975040435791
9,58,1,0.5974910855293274
18,124,1,2.253444194793701
18,125,0,3.0639641284942627
18,120,0,0.8039934635162354
17,124,0,1.1746052503585815
19,128,0,1.9685865640640259
18,124,0,1.7711766958236694
20,126,1,3.6087465286254883
18,124,1,1.3885715007781982
13,92,0,1.0069422721862793
17,121,1,2.060136318206787
10,70,0,3.064300060272217
18,121,1,2.209855556488037
19,124,0,2.9350686073303223
19,126,0,2.812500238418579
19,125,0,3.1162900924682617
16,124,1,3.7227132320404053
19,127,0,2.7524170875549316
5,33,1,2.961693286895752
19,127,1,1.1693499088287354
5,32,0,2.978243350982666
18,119,0,4.63851261138916
19,124,1,2.3477284908294678
7,52,1,2.177386522293091
18,121,1,3.063469886779785
19,123,1,2.486721992492676
18,124,0,3.3683922290802
18,123,0,7.093930721282959
13,116,0,4.180209159851074
17,124,0,2.147118330001831
19,124,0,1.935472846031189
19,124,0,2.379633903503418
7,50,1,3.4057748317718506
19,127,1,1.898440957069397
18,124,1,3.951838970184326
17,121,1,1.3061338663101196
17,124,0,1.7756394147872925
20,124,0,2.738908052444458
17,127,0,5.344352722167969
3,19,0,2.889174699783325
4,32,1,3.5581369400024414
18,121,1,4.835225582122803
11,82,1,1.574622392654419
18,126,1,2.254807949066162
17,127,1,2.3228957653045654
18,120,1,1.7789043188095093
19,127,0,2.7807888984680176
18,123,1,2.696889877319336
19,128,1,1.3744887113571167
17,118,1,2.0328896045684814
19,126,1,2.6920032501220703
19,128,1,2.585742235183716
10,63,0,3.723668336868286
18,120,0,5.50071907043457
18,120,0,1.1038874387741089
17,120,0,2.202430009841919
19,127,0,1.9810516834259033
15,99,1,2.3687851428985596
16,124,1,2.025491952896118
19,124,1,1.0499809980392456
19,121,1,1.4257524013519287
18,124,1,1.3803215026855469
19,126,0,1.2392998933792114
20,125,1,1.2305506467819214
19,126,0,3.04823637008667
19,128,0,2.0209619998931885
19,127,1,2.4317240715026855
19,122,0,3.5508995056152344
18,126,0,2.846940517425537
19,123,1,1.70985746383667
19,120,0,2.854907512664795
19,126,0,0.6506282091140747
19,123,0,1.0108954906463623
19,127,0,2.7301552295684814
19,123,1,0.8947903513908386
12,115,0,3.281373977661133
19,123,0,2.4826436042785645
19,123,0,2.3774166107177734
19,126,1,2.034564733505249
18,123,1,3.272876262664795
18,125,0,2.2276175022125244
19,121,1,1.6802681684494019
18,126,0,2.572894334793091
19,127,1,2.714289426803589
20,127,0,2.0374364852905273
19,129,1,2.9828720092773438
18,124,1,2.1229677200317383
18,125,1,3.9364428520202637
19,125,0,1.4019261598587036
19,128,0,3.479214668273926
7,41,1,3.8806071281433105
16,125,0,2.6756296157836914
13,85,0,2.8718173503875732
19,125,0,1.2651989459991455
19,124,0,1.8937427997589111
10,65,1,5.143463134765625
16,124,1,3.8159146308898926
19,127,1,1.4817695617675781
19,127,0,1.7087163925170898
19,126,1,1.2565832138061523
16,103,0,1.3370628356933594
19,123,1,2.782820701599121
5,33,1,1.280342698097229
20,129,1,3.4851279258728027
8,56,0,1.9780921936035156
19,123,1,1.299431324005127
19,125,0,1.3226748704910278
9,55,1,1.1946827173233032
18,122,0,1.815980076789856
19,128,1,2.2749924659729004
19,127,0,1.129918098449707
17,115,1,2.64050555229187
5,32,1,1.1432557106018066
4,28,1,1.084481120109558
7,48,1,3.5817975997924805
18,126,0,2.46687650680542
9,57,1,0.9720523357391357
19,121,1,2.9408068656921387
19,123,0,0.7093364000320435
19,123,0,1.3848685026168823
19,127,0,3.6857194900512695
19,126,0,2.7647714614868164
19,121,0,2.2885937690734863
19,120,1,2.806314468383789
19,125,1,3.805695056915283
19,128,1,2.8654932975769043
19,120,1,1.6298061609268188
16,104,0,1.4305610656738281
6,44,1,1.350286602973938
17,123,0,2.1689651012420654
19,128,0,1.9073710441589355
18,122,1,1.103270173072815
18,125,1,1.0466035604476929
19,127,0,1.5948716402053833
19,122,1,6.403913497924805
19,126,1,0.28456583619117737
19,120,1,2.796769618988037
9,59,1,1.0514463186264038
19,130,0,1.080077886581421
2,13,1,4.777073383331299
18,123,0,4.7392354011535645
5,34,1,4.51362419128418
19,126,0,3.6871888637542725
19,122,0,2.937363862991333
18,124,1,3.1336984634399414
12,92,1,2.2400074005126953
18,122,1,3.6887004375457764
19,122,1,2.3337390422821045
19,121,0,2.410839080810547
19,125,1,1.9691134691238403
17,124,1,1.4737379550933838
20,127,1,2.6882619857788086
19,126,1,1.8833494186401367
19,128,1,1.2646265029907227
5,30,1,3.5555434226989746
19,126,1,2.5494306087493896
19,128,0,2.1789164543151855
5,31,0,3.605741262435913
6,46,1,2.1832492351531982
5,31,1,1.7927337884902954
18,124,1,1.5960235595703125
18,122,1,1.898704171180725
19,126,1,2.2422385215759277
19,127,1,1.745712161064148
18,122,0,0.3946197032928467
13,79,0,2.6038153171539307
19,121,0,2.729193925857544
18,121,1,3.370842218399048
19,127,0,5.1239118576049805
19,122,1,3.6428844928741455
16,121,1,0.5643749833106995
19,127,0,3.1314148902893066
3,19,1,3.8312580585479736
9,57,1,5.2902045249938965
18,127,1,3.0586326122283936
16,123,0,1.9415202140808105
19,128,1,1.952953577041626
15,97,0,0.9284942746162415
17,121,0,3.250066041946411
5,34,1,3.759147882461548
19,124,0,2.6077611446380615
17,123,1,3.009099006652832
17,121,0,1.2147269248962402
18,122,1,1.3896002769470215
19,126,1,1.5131127834320068
19,122,1,3.313565731048584
18,121,1,8.016011238098145
19,122,1,2.6900930404663086
19,121,1,1.4127962589263916
18,122,1,1.026291012763977
19,122,1,1.3240991830825806
17,119,1,4.25484561920166
